country_name,city_name,aqi_value,aqi_category,dominant_pollutant,predicted_aqi,error,risk_level
United States of America,Druid Hills,73,Moderate,OZONE,73.0,0.0,Moderate
Philippines,Sebu,53,Moderate,PM2.5,53.0,0.0,Moderate
United States of America,Fort Worth,61,Moderate,PM2.5,61.0,0.0,Moderate
India,Kalyani,171,Unhealthy,PM2.5,171.0,0.0,Unhealthy
United States of America,Somerville,49,Good,PM2.5,49.0,0.0,Good
Italy,Lentate Sul Seveso,34,Good,OZONE,34.0,0.0,Good
United States of America,Hibbing,54,Moderate,PM2.5,54.0,0.0,Moderate
Italy,Correggio,67,Moderate,OZONE,66.7,0.3,Moderate
United States of America,Middlesex,64,Moderate,PM2.5,64.0,0.0,Moderate
Lithuania,Kedainiai,35,Good,OZONE,35.0,0.0,Good
Belgium,Walcourt,56,Moderate,PM2.5,56.0,0.0,Moderate
China,Zhuozhou,162,Unhealthy,PM2.5,162.0,0.0,Unhealthy
China,Jieshi,168,Unhealthy,OZONE,168.0,0.0,Unhealthy
United States of America,Guayama,129,Unhealthy for Sensitive Groups,PM2.5,128.9,0.1,Unhealthy (Sensitive)
Croatia,Nova Gradiska,58,Moderate,PM2.5,58.0,0.0,Moderate
Canada,Amherstburg,83,Moderate,PM2.5,83.0,0.0,Moderate
France,Ollioules,61,Moderate,PM2.5,61.0,0.0,Moderate
Netherlands,Hellevoetsluis,37,Good,OZONE,37.0,0.0,Good
France,Courrieres,48,Good,PM2.5,48.0,0.0,Good
India,Machhlishahr,171,Unhealthy,PM2.5,171.0,0.0,Unhealthy
India,Chunar,275,Very Unhealthy,PM2.5,244.3,30.7,Very Unhealthy
Kenya,Kilifi,57,Moderate,PM2.5,57.0,0.0,Moderate
India,Shikohabad,169,Unhealthy,PM2.5,169.0,0.0,Unhealthy
India,Chatrapur,139,Unhealthy for Sensitive Groups,PM2.5,139.0,0.0,Unhealthy (Sensitive)
Portugal,Braga,39,Good,OZONE,39.0,0.0,Good
Germany,Warendorf,39,Good,PM2.5,39.0,0.0,Good
Argentina,Trelew,18,Good,OZONE,18.0,0.0,Good
Russian Federation,Nadvoitsy,28,Good,OZONE,28.0,0.0,Good
Panama,Changuinola,34,Good,PM2.5,34.0,0.0,Good
Russian Federation,Tulun,37,Good,PM2.5,37.0,0.0,Good
United States of America,Mount Juliet,50,Good,OZONE,50.0,0.0,Good
Denmark,Solrod,36,Good,OZONE,36.0,0.0,Good
India,Semaria,158,Unhealthy,PM2.5,158.2,0.2,Unhealthy
Guatemala,Santa Maria De Jesus,67,Moderate,PM2.5,67.0,0.0,Moderate
Germany,Sundern,43,Good,PM2.5,43.0,0.0,Good
Guinea,Mamou,32,Good,PM2.5,32.0,0.0,Good
United States of America,Pinecrest,89,Moderate,PM2.5,89.0,0.0,Moderate
Russian Federation,Skalistyy,29,Good,OZONE,29.0,0.0,Good
Namibia,Otjiwarongo,29,Good,PM2.5,29.0,0.0,Good
France,Noisy Le Grand,30,Good,PM2.5,30.0,0.0,Good
Brazil,Pontal,131,Unhealthy for Sensitive Groups,PM2.5,131.0,0.0,Unhealthy (Sensitive)
South Africa,Hermanus,151,Unhealthy,PM2.5,151.0,0.0,Unhealthy
Spain,Muros,36,Good,OZONE,36.0,0.0,Good
Romania,Oravita,48,Good,OZONE,48.0,0.0,Good
Belarus,Lyuban,52,Moderate,PM2.5,52.0,0.0,Moderate
Pakistan,Malakwal,149,Unhealthy for Sensitive Groups,PM2.5,149.0,0.0,Unhealthy (Sensitive)
India,Naldurg,91,Moderate,PM2.5,91.0,0.0,Moderate
Russian Federation,Ostrogozhsk,33,Good,OZONE,33.0,0.0,Good
Mexico,Rincon De Romos,40,Good,PM2.5,40.0,0.0,Good
United States of America,Ladson,44,Good,PM2.5,44.0,0.0,Good
Iran (Islamic Republic of),Babol,54,Moderate,PM2.5,54.0,0.0,Moderate
India,Tadepallegudem,127,Unhealthy for Sensitive Groups,PM2.5,127.0,0.0,Unhealthy (Sensitive)
Germany,Rottenburg,31,Good,OZONE,31.0,0.0,Good
,Dalianwan,105,Unhealthy for Sensitive Groups,OZONE,102.8,2.2,Unhealthy (Sensitive)
France,Montceau Les Mines,42,Good,PM2.5,42.0,0.0,Good
United States of America,Merrillville,36,Good,OZONE,36.1,0.1,Good
India,Nawashahr,152,Unhealthy,OZONE,152.0,0.0,Unhealthy
United Kingdom of Great Britain and Northern Ireland,Bracknell,27,Good,PM2.5,27.0,0.0,Good
United States of America,Merced,43,Good,PM2.5,43.1,0.1,Good
Sweden,Visby,36,Good,OZONE,36.0,0.0,Good
Indonesia,Cilegon,182,Unhealthy,OZONE,181.3,0.7,Unhealthy
Spain,La Puebla De Cazalla,28,Good,OZONE,28.0,0.0,Good
United Republic of Tanzania,Liwale,40,Good,PM2.5,40.0,0.0,Good
Brazil,Timon,67,Moderate,PM2.5,67.0,0.0,Moderate
Russian Federation,Volokolamsk,50,Good,PM2.5,50.0,0.0,Good
Namibia,Keetmanshoop,123,Unhealthy for Sensitive Groups,PM2.5,123.0,0.0,Unhealthy (Sensitive)
United States of America,Rio Linda,50,Good,PM2.5,50.0,0.0,Good
Netherlands,Oostburg,36,Good,PM2.5,36.0,0.0,Good
,Swampscott,29,Good,PM2.5,29.0,0.0,Good
Germany,Hungen,64,Moderate,PM2.5,64.0,0.0,Moderate
Côte d'Ivoire,Guiglo,31,Good,PM2.5,31.0,0.0,Good
Portugal,Rio De Mouro,40,Good,OZONE,40.0,0.0,Good
United States of America,Miamisburg,48,Good,OZONE,48.0,0.0,Good
Italy,Gioia Tauro,47,Good,PM2.5,47.0,0.0,Good
United States of America,Maywood,82,Moderate,PM2.5,82.0,0.0,Moderate
United States of America,Southbury,81,Moderate,PM2.5,81.0,0.0,Moderate
Brazil,Trairi,39,Good,PM2.5,39.0,0.0,Good
India,Baramati,156,Unhealthy,PM2.5,156.0,0.0,Unhealthy
India,Pulivendla,120,Unhealthy for Sensitive Groups,PM2.5,120.0,0.0,Unhealthy (Sensitive)
Indonesia,Jepara,132,Unhealthy for Sensitive Groups,PM2.5,132.0,0.0,Unhealthy (Sensitive)
Japan,Hirakata,50,Good,PM2.5,50.0,0.0,Good
Netherlands,Doesburg,36,Good,PM2.5,36.0,0.0,Good
Libya,Surman,83,Moderate,PM2.5,83.0,0.0,Moderate
Sweden,Lund,36,Good,OZONE,36.0,0.0,Good
India,Barkhera,500,Hazardous,PM2.5,499.6,0.4,Hazardous
United States of America,Mendota Heights,53,Moderate,PM2.5,53.0,0.0,Moderate
Czechia,Litomerice,72,Moderate,PM2.5,72.0,0.0,Moderate
Poland,Kepno,52,Moderate,PM2.5,52.0,0.0,Moderate
Romania,Targu Mures,64,Moderate,PM2.5,64.0,0.0,Moderate
Italy,Finale Emilia,68,Moderate,PM2.5,68.0,0.0,Moderate
Portugal,Aguas Santas,29,Good,OZONE,29.0,0.0,Good
India,Tiruvallur,67,Moderate,PM2.5,67.0,0.0,Moderate
Germany,Herford,43,Good,PM2.5,43.0,0.0,Good
Italy,Saviano,53,Moderate,OZONE,53.0,0.0,Moderate
Peru,Huancayo,25,Good,PM2.5,25.0,0.0,Good
Indonesia,Yogyakarta,54,Moderate,PM2.5,54.0,0.0,Moderate
Germany,Dossenheim,70,Moderate,PM2.5,70.0,0.0,Moderate
United States of America,Bound Brook,64,Moderate,PM2.5,64.0,0.0,Moderate
China,Wuzhou,51,Moderate,PM2.5,51.0,0.0,Moderate
United Kingdom of Great Britain and Northern Ireland,Hindley,33,Good,PM2.5,33.0,0.0,Good
Finland,Haukipudas,40,Good,PM2.5,40.0,0.0,Good
Japan,Hino,34,Good,OZONE,34.0,0.0,Good
United States of America,Milford Mill,58,Moderate,PM2.5,58.0,0.0,Moderate
,Brigantine,78,Moderate,PM2.5,78.0,0.0,Moderate
Poland,Kamienna Gora,30,Good,PM2.5,30.0,0.0,Good
Spain,Barbate,47,Good,OZONE,47.0,0.0,Good
Morocco,Tarudant,29,Good,PM2.5,29.0,0.0,Good
France,Saint Etienne Du Rouvray,66,Moderate,PM2.5,66.0,0.0,Moderate
Niger,Tahoua,71,Moderate,PM2.5,71.0,0.0,Moderate
United States of America,North Richland Hills,69,Moderate,PM2.5,69.0,0.0,Moderate
Germany,Ueckermunde,40,Good,OZONE,40.0,0.0,Good
India,Doda,73,Moderate,OZONE,73.0,0.0,Moderate
Uzbekistan,Stantsiya Gorchakovo,125,Unhealthy for Sensitive Groups,PM2.5,125.0,0.0,Unhealthy (Sensitive)
Germany,Starnberg,52,Moderate,PM2.5,52.0,0.0,Moderate
Poland,Wieliczka,52,Moderate,PM2.5,52.0,0.0,Moderate
Peru,Bambamarca,17,Good,PM2.5,17.1,0.1,Good
Germany,Rheinau,35,Good,OZONE,35.0,0.0,Good
Pakistan,Daro,165,Unhealthy,PM2.5,165.0,0.0,Unhealthy
United Republic of Tanzania,Urambo,23,Good,PM2.5,23.0,0.0,Good
Indonesia,Klungkung,33,Good,PM2.5,33.0,0.0,Good
Iraq,Hit,158,Unhealthy,PM2.5,158.0,0.0,Unhealthy
Brazil,Sao Joao Da Boa Vista,59,Moderate,PM2.5,59.0,0.0,Moderate
Spain,Blanes,41,Good,PM2.5,41.0,0.0,Good
Hungary,Sajoszentpeter,88,Moderate,PM2.5,88.0,0.0,Moderate
Mexico,Nueva Italia De Ruiz,26,Good,PM2.5,26.0,0.0,Good
Mexico,Tenango De Arista,177,Unhealthy,PM2.5,176.9,0.1,Unhealthy
Bangladesh,Dhamrai,152,Unhealthy,PM2.5,152.0,0.0,Unhealthy
,Pattani,96,Moderate,PM2.5,96.0,0.0,Moderate
United Kingdom of Great Britain and Northern Ireland,Loughton,30,Good,OZONE,30.0,0.0,Good
Mexico,Momoxpan,152,Unhealthy,PM2.5,152.0,0.0,Unhealthy
United States of America,Chattanooga,71,Moderate,PM2.5,71.0,0.0,Moderate
Italy,Castellammare Di Stabia,74,Moderate,PM2.5,74.0,0.0,Moderate
